national_dex_number,form_order,key,form_key,name,kana,type1,type2,h,a,b,c,d,s,image_url
1,0,bulbasaur,default,フシギダネ,ふしぎだね,くさ,どく,45,49,49,65,65,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png
2,0,ivysaur,default,フシギソウ,ふしぎそう,くさ,どく,60,62,63,80,80,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png
3,0,venusaur,default,フシギバナ,ふしぎばな,くさ,どく,80,82,83,100,100,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png
3,1,venusaur,mega,フシギバナ（メガシンカ）,ふしぎばな（めがしんか）,くさ,どく,80,100,123,122,120,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10033.png
4,0,charmander,default,ヒトカゲ,ひとかげ,ほのお,,39,52,43,60,50,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png
5,0,charmeleon,default,リザード,りざーど,ほのお,,58,64,58,80,65,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png
6,0,charizard,default,リザードン,りざーどん,ほのお,ひこう,78,84,78,109,85,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png
6,1,charizard,mega-x,リザードン（メガシンカX）,りざーどん（めがしんかX）,ほのお,ドラゴン,78,130,111,130,85,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10034.png
6,2,charizard,mega-y,リザードン（メガシンカY）,りざーどん（めがしんかY）,ほのお,ひこう,78,104,78,159,115,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10035.png
7,0,squirtle,default,ゼニガメ,ぜにがめ,みず,,44,48,65,50,64,43,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png
8,0,wartortle,default,カメール,かめーる,みず,,59,63,80,65,80,58,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png
9,0,blastoise,default,カメックス,かめっくす,みず,,79,83,100,85,105,78,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png
9,1,blastoise,mega,カメックス（メガシンカ）,かめっくす（めがしんか）,みず,,79,103,120,135,115,78,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10036.png
10,0,caterpie,default,キャタピー,きゃたぴー,むし,,45,30,35,20,20,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png
11,0,metapod,default,トランセル,とらんせる,むし,,50,20,55,25,25,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png
12,0,butterfree,default,バタフリー,ばたふりー,むし,ひこう,60,45,50,90,80,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png
13,0,weedle,default,ビードル,びーどる,むし,どく,40,35,30,20,20,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png
14,0,kakuna,default,コクーン,こくーん,むし,どく,45,25,50,25,25,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png
15,0,beedrill,default,スピアー,すぴあー,むし,どく,65,90,40,45,80,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png
15,1,beedrill,mega,スピアー（メガシンカ）,すぴあー（めがしんか）,むし,どく,65,150,40,15,80,145,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10090.png
16,0,pidgey,default,ポッポ,ぽっぽ,ノーマル,ひこう,40,45,40,35,35,56,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png
17,0,pidgeotto,default,ピジョン,ぴじょん,ノーマル,ひこう,63,60,55,50,50,71,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png
18,0,pidgeot,default,ピジョット,ぴじょっと,ノーマル,ひこう,83,80,75,70,70,101,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png
18,1,pidgeot,mega,ピジョット（メガシンカ）,ぴじょっと（めがしんか）,ノーマル,ひこう,83,80,80,135,80,121,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10073.png
19,0,rattata,default,コラッタ,こらった,ノーマル,,30,56,35,25,35,72,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png
19,1,rattata,alola,コラッタ（アローラのすがた）,こらった（あろーらのすがた）,あく,ノーマル,30,56,35,25,35,72,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10091.png
20,0,raticate,default,ラッタ,らった,ノーマル,,55,81,60,50,70,97,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png
20,1,raticate,alola,ラッタ（アローラのすがた）,らった（あろーらのすがた）,あく,ノーマル,75,71,70,40,80,77,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10092.png
21,0,spearow,default,オニスズメ,おにすずめ,ノーマル,ひこう,40,60,30,31,31,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png
22,0,fearow,default,オニドリル,おにどりる,ノーマル,ひこう,65,90,65,61,61,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/22.png
23,0,ekans,default,アーボ,あーぼ,どく,,35,60,44,40,54,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/23.png
24,0,arbok,default,アーボック,あーぼっく,どく,,60,95,69,65,79,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/24.png
